## MONTHS 1–3: ZERO-ALLOCATION C#, PYTHON INJECTION & INTEROP
### Week 1 — C# Fundamentals & Memory Stack
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Primitive types, stack/heap allocation, value vs. reference types. | Draw memory maps tracing heap vs stack lifecycles. | N/A (Theory baseline). | 1-page "Stack vs Heap" cheat sheet. | Can I explain why structs copy natively? |
| **2** | struct (Value) vs class (Reference) behavior. | Write allocation tests comparing object behavior. | Code showing memory allocation differences. | Committed code with README explanation. | Do I understand when the GC triggers? |
| **3** | DeviceStatus struct mutation. | Pass structs/classes through methods and track state changes. | DeviceStatus simulator testing method parameters. | Test result note showing mutation side effects. | Did the class mutate globally while the struct didn't? |
| **4** | Input reading and format boundaries. | Parse mock hardware strings (e.g., TEMP:24). | First console app validating mock hardware strings. | Working C# program. | Does it handle malformed data without crashing? |
| **5** | Null-handling and exception flow. | Inject nulls and format errors to break the app. | Updated app with robust try/catch boundaries. | Documented program flow rules. | Are all exceptions caught safely? |
### Week 2 — Collections, LINQ, & Data Shaping
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | List<T>, Dictionary, memory overhead of resizing. | Compare list initialization vs dynamic resizing. | N/A. | Code examples of collection management. | Why do dynamically resizing lists hurt performance? |
| **2** | LINQ (Where, Select, GroupBy). | Query mock biometric data using LINQ. | LINQ data filtering logic. | Committed LINQ logic. | Is the query executing efficiently? |
| **3** | High-volume parsing and grouping. | Parse 10,000 records; group by terminal ID. | Large-dataset parser. | Benchmark results note. | What is the execution time for 10k records? |
| **4** | ArrayPool<T> and buffer recycling. | Replace standard arrays with pooled arrays. | Buffer pooling implementation. | Working C# buffer logic. | Did I return the buffer to the pool? |
| **5** | Null collections and duplicates. | Test edge cases in collection logic. | Duplicate-handling logic. | Test scenario notes. | Explain why ArrayPool prevents GC spikes. |
### Week 3 — High-Performance Memory (Span<T> & Memory<T>)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Span<T> and GC pause mechanics. | Trace garbage collection triggers in edge devices. | N/A. | Study note on zero-allocation principles. | Why do industrial gateways crash from GC? |
| **2** | ReadOnlySpan<byte> casting. | Cast unmanaged byte arrays without copying. | Zero-allocation byte caster. | Committed C# memory parsing code. | Is the memory truly uncopied? |
| **3** | Slicing Span<T>. | Extract device IDs from raw binary headers via slicing. | Zero-allocation payload parser. | Working zero-allocation parser. | Prove the parser triggers zero heap allocations. |
| **4** | Memory<T> for async operations. | Use Memory<T> where Span cannot cross await. | Async memory parser. | Async memory parsing code. | Why can Span not cross await boundaries? |
